"","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15","h16","h17","h18","h19","h20","h21","h22","h23","h24","h25","h26","h27","h28","h29","h30","h31","h32","h33","h34","h35","h36","h37","h38","h39","h40","h41","h42","h43","h44","h45","h46","h47","h48","h49","h50","h51","h52","h53","h54","h55","h56","h57","h58","h59","h60","h61","h62","h63","h64","h65","h66","h67","h68","h69","h70","h71","h72","h73","h74","h75","h76","h77","h78","h79","h80","h81","h82","h83","h84","h85","h86","h87","h88","h89","h90","h91","h92","h93","h94","h95","h96","h97","h98","h99","h100","h101","h102","h103","h104","h105","h106","h107","h108","h109","h110","h111","h112","h113","h114","h115","h116","h117","h118","h119","h120","h121","h122","h123","h124","h125","h126","h127","h128","h129","h130","h131","h132","h133","h134","h135","h136","h137","h138","h139","h140","h141","h142","h143","h144","h145","h146","h147","h148","h149","h150","h151","h152","h153","h154","h155","h156","h157","h158","h159","h160","h161","h162","h163","h164","h165","h166","h167","h168","h169","h170","h171","h172","h173","h174"
"g1",1,0.779132453,0.773109278,0.773109278,0.723500177,0.723500177,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.612324427,0.612324427,0.612324427,0.612324427,0.612324427,0.612324427,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.51680706,0.51680706,0.446783858,0.446783858,0.446783858,0.446783858
"g2",0.779132453,1,0.773109278,0.773109278,0.723500177,0.723500177,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.612324427,0.612324427,0.612324427,0.612324427,0.612324427,0.612324427,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.51680706,0.51680706,0.446783858,0.446783858,0.446783858,0.446783858
"g3",0.773109278,0.773109278,1,0.903943784,0.723500177,0.723500177,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.612324427,0.612324427,0.612324427,0.612324427,0.612324427,0.612324427,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.51680706,0.51680706,0.446783858,0.446783858,0.446783858,0.446783858
"g4",0.773109278,0.773109278,0.903943784,1,0.723500177,0.723500177,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.612324427,0.612324427,0.612324427,0.612324427,0.612324427,0.612324427,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.51680706,0.51680706,0.446783858,0.446783858,0.446783858,0.446783858
"g5",0.723500177,0.723500177,0.723500177,0.723500177,1,0.807612466,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.612324427,0.612324427,0.612324427,0.612324427,0.612324427,0.612324427,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.51680706,0.51680706,0.446783858,0.446783858,0.446783858,0.446783858
"g6",0.723500177,0.723500177,0.723500177,0.723500177,0.807612466,1,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.612324427,0.612324427,0.612324427,0.612324427,0.612324427,0.612324427,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.51680706,0.51680706,0.446783858,0.446783858,0.446783858,0.446783858
"g7",0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,1,0.830044759,0.830044759,0.830044759,0.798628453,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.612324427,0.612324427,0.612324427,0.612324427,0.612324427,0.612324427,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.51680706,0.51680706,0.446783858,0.446783858,0.446783858,0.446783858
"g8",0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.830044759,1,0.859074365,0.859074365,0.798628453,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.612324427,0.612324427,0.612324427,0.612324427,0.612324427,0.612324427,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.51680706,0.51680706,0.446783858,0.446783858,0.446783858,0.446783858
"g9",0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.830044759,0.859074365,1,0.885379337,0.798628453,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.612324427,0.612324427,0.612324427,0.612324427,0.612324427,0.612324427,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.51680706,0.51680706,0.446783858,0.446783858,0.446783858,0.446783858
"g10",0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.830044759,0.859074365,0.885379337,1,0.798628453,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.612324427,0.612324427,0.612324427,0.612324427,0.612324427,0.612324427,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.51680706,0.51680706,0.446783858,0.446783858,0.446783858,0.446783858
"g11",0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.798628453,0.798628453,0.798628453,0.798628453,1,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.612324427,0.612324427,0.612324427,0.612324427,0.612324427,0.612324427,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.51680706,0.51680706,0.446783858,0.446783858,0.446783858,0.446783858
"g12",0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.644695864,0.659324313,0.659324313,0.659324313,0.659324313,0.659324313,1,0.777548034,0.777548034,0.757714345,0.757714345,0.757714345,0.757714345,0.757714345,0.757714345,0.757714345,0.757714345,0.716362339,0.716362339,0.716362339,0.716362339,0.716362339,0.716362339,0.716362339,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.626798542,0.612324427,0.612324427,0.612324427,0.612324427,0.612324427,0.612324427,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.584893892,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.573905658,0.51680706,0.51680706,0.446783858,0.446783858,0.446783858,0.446783858
